Subject,Type,Validation
Aboriginal and Torres Strait Islander Studies,General,0 - 100
Accounting,General,0 - 100
Aerospace Systems,General,0 - 100
Agricultural Science,General,0 - 100
Ancient History,General,0 - 100
Arabic,General,0 - 100
Biology,General,0 - 100
Business,General,0 - 100
Chemistry,General,0 - 100
Chinese,General,0 - 100
Chinese Extension,General,0 - 100
Dance,General,0 - 100
Design,General,0 - 100
Digital Solutions,General,0 - 100
Drama,General,0 - 100
Earth and Environmental Science,General,0 - 100
Economics,General,0 - 100
Engineering,General,0 - 100
English,General,0 - 100
English and Literature Extension,General,0 - 100
English as an Additional Language,General,0 - 100
Film Television and New Media,General,0 - 100
Food and Nutrition,General,0 - 100
French,General,0 - 100
French Extension,General,0 - 100
General Mathematics,General,0 - 100
Geography,General,0 - 100
German,General,0 - 100
German Extension,General,0 - 100
Health,General,0 - 100
Indonesian,General,0 - 100
Italian,General,0 - 100
Japanese,General,0 - 100
Korean,General,0 - 100
Latin,General,0 - 100
Legal Studies,General,0 - 100
Literature,General,0 - 100
Marine Science,General,0 - 100
Mathematical Methods,General,0 - 100
Modern Greek,General,0 - 100
Modern History,General,0 - 100
Music,General,0 - 100
Music Extension (Composition),General,0 - 100
Music Extension (Musicology),General,0 - 100
Music Extension (Performance),General,0 - 100
Philosophy and Reason,General,0 - 100
Physical Education,General,0 - 100
Physics,General,0 - 100
Polish,General,0 - 100
Psychology,General,0 - 100
Punjabi,General,0 - 100
Russian,General,0 - 100
Spanish,General,0 - 100
Specialist Mathematics,General,0 - 100
Study of Religion,General,0 - 100
Vietnamese,General,0 - 100
Visual Art,General,0 - 100
Agricultural Practices,Applied/VET,A - E
Aquatic Practices,Applied/VET,A - E
Arts in Practice,Applied/VET,A - E
Building and Construction Skills,Applied/VET,A - E
Business Studies,Applied/VET,A - E
Dance in Practice,Applied/VET,A - E
Drama in Practice,Applied/VET,A - E
Early Childhood Studies,Applied/VET,A - E
Engineering Skills,Applied/VET,A - E
Essential English,Applied/VET,A - E
Essential Mathematics,Applied/VET,A - E
Fashion,Applied/VET,A - E
Furnishing Skills,Applied/VET,A - E
Hospitality Practices,Applied/VET,A - E
Industrial Graphics Skills,Applied/VET,A - E
Industrial Technology Skills,Applied/VET,A - E
Information and Communication Technology,Applied/VET,A - E
Media Arts in Practice,Applied/VET,A - E
Music in Practice,Applied/VET,A - E
Religion and Ethics,Applied/VET,A - E
Science in Practice,Applied/VET,A - E
Social & Community Studies,Applied/VET,A - E
Sport and Recreation,Applied/VET,A - E
Tourism,Applied/VET,A - E
Visual Arts in Practice,Applied/VET,A - E
Certificate III,Applied/VET,Pass
Certificate IV,Applied/VET,Pass
Diploma,Applied/VET,Pass
Advanced Diploma,Applied/VET,Pass
