Subject,a,k
Aboriginal and Torres Strait Islander Studies,0.08274855,-6.28420352
Accounting,0.063795099,-3.381096653
Aerospace Systems,0.061689201,-3.446595214
Agricultural Science,0.077284693,-5.613127038
Ancient History,0.065888775,-3.960126497
Biology,0.081016734,-5.312577527
Business,0.055358507,-3.22559367
Chemistry,0.117133544,-7.708461414
Chinese,0.05668217,-3.294965175
Dance,0.055736279,-4.252603762
Design,0.048981896,-2.904171018
Digital Solutions,0.065226288,-3.611406174
Drama,0.062146498,-4.304764082
Earth and Environmental Science,0.087891772,-6.182699872
Economics,0.08409859,-4.640507704
Engineering,0.078481683,-4.095619189
English,0.066188346,-3.782960769
English and Literature Extension,0.075571084,-4.35091742
English as an Additional Language,0.08196862,-4.828148518
Film Television and New Media,0.052376453,-3.561088723
Food and Nutrition,0.047762427,-2.867283885
French,0.092100842,-4.848103285
General Mathematics,0.050710373,-3.023021773
Geography,0.064989497,-3.589970887
German,0.096785251,-5.567327847
Health,0.051845179,-3.129172038
Italian,0.072080558,-3.790274755
Japanese,0.066149193,-3.467814248
Korean,0.05273385,-2.612485074
Legal Studies,0.05478122,-2.932358486
Literature,0.081058953,-4.79429551
Marine Science,0.075689144,-5.027097199
Mathematical Methods,0.071542875,-3.422011377
Modern History,0.069600206,-4.204724001
Music,0.061277587,-4.130296116
Music Extension (Composition),0.059326758,-4.030832616
Music Extension (Performance),0.062775326,-4.628844611
Philosophy and Reason,0.075142173,-4.051662085
Physical Education,0.053689875,-3.416919692
Physics,0.11129837,-7.192188767
Psychology,0.076636994,-5.211015199
Spanish,0.063111727,-3.374256446
Specialist Mathematics,0.091682298,-4.59078111
Study of Religion,0.070771726,-4.136702979
Vietnamese,0.058978688,-3.829763075
Visual Art,0.049845975,-3.036522449
